Time [sec],Altitude True [m],Velocity True [m/s],Ballistic Coefficient True [],Range True [m],Range measurement [m],
28.9579,5845.44,-202.965,0.001,5070.97,4992.87,
29.0581,5825.12,-202.564,0.001,5067.63,5038.59,
29.1583,5804.85,-202.166,0.001,5064.36,4977.93,
29.2585,5784.61,-201.77,0.001,5061.19,5091.82,
29.3587,5764.41,-201.377,0.001,5058.1,5067.28,
29.4589,5744.25,-200.985,0.001,5055.09,5067.9,
29.5591,5724.13,-200.596,0.001,5052.16,5145.95,
29.6593,5704.05,-200.21,0.001,5049.33,5048.76,
29.7595,5684.01,-199.825,0.001,5046.57,5088.32,
29.8597,5664.01,-199.443,0.001,5043.9,5076.88,
29.9599,5644.04,-199.063,0.001,5041.31,5140.91,
30.0601,5624.12,-198.685,0.001,5038.8,5054.25,
30.1603,5604.23,-198.31,0.001,5036.38,5046.55,
30.2605,5584.37,-197.936,0.001,5034.03,5054.46,
30.3607,5564.56,-197.565,0.001,5031.77,5031.8,
30.4609,5544.78,-197.196,0.001,5029.59,5021.4,
30.5611,5525.04,-196.828,0.001,5027.49,5078.71,
30.6613,5505.34,-196.463,0.001,5025.47,5038.84,
30.7615,5485.67,-196.101,0.001,5023.53,4954.69,
30.8617,5466.04,-195.74,0.001,5021.67,5051.71,
30.9619,5446.44,-195.381,0.001,5019.89,5121.22,
31.0621,5426.88,-195.024,0.001,5018.19,4970.96,
31.1623,5407.36,-194.669,0.001,5016.57,4985.67,
31.2625,5387.87,-194.317,0.001,5015.02,5022.78,
31.3627,5368.42,-193.966,0.001,5013.55,5104.22,
31.4629,5349,-193.617,0.001,5012.17,4936.52,
31.5631,5329.62,-193.27,0.001,5010.85,5083.27,
31.6633,5310.27,-192.925,0.001,5009.62,4967.01,
31.7635,5290.96,-192.583,0.001,5008.46,5057.64,
31.8637,5271.68,-192.242,0.001,5007.38,5028.36,
31.9639,5252.43,-191.902,0.001,5006.37,5141.2,
32.0641,5233.22,-191.565,0.001,5005.44,5053.49,
32.1643,5214.04,-191.23,0.001,5004.58,5042.54,
32.2645,5194.9,-190.896,0.001,5003.8,4996.6,
32.3647,5175.78,-190.565,0.001,5003.09,4916.92,
32.4649,5156.71,-190.235,0.001,5002.46,4934.79,
32.5651,5137.66,-189.907,0.001,5001.89,5040.24,
32.6653,5118.65,-189.581,0.001,5001.41,5036.94,
32.7655,5099.67,-189.256,0.001,5000.99,5004.26,
32.8657,5080.72,-188.934,0.001,5000.65,5079.75,
32.9659,5061.81,-188.613,0.001,5000.38,4937.51,
33.0661,5042.92,-188.294,0.001,5000.18,5033.83,
33.1663,5024.07,-187.976,0.001,5000.06,4987.91,
33.2665,5005.25,-187.661,0.001,5000,5052.46,
33.3667,4986.46,-187.347,0.001,5000.02,5067.21,
33.4669,4967.71,-187.035,0.001,5000.1,5006.56,
33.5671,4948.98,-186.724,0.001,5000.26,5002.82,
33.6673,4930.29,-186.415,0.001,5000.49,4955.94,
33.7675,4911.62,-186.108,0.001,5000.78,4990.61,
33.8677,4892.99,-185.802,0.001,5001.14,5009.12,
33.9679,4874.39,-185.499,0.001,5001.58,5059.73,
34.0681,4855.82,-185.196,0.001,5002.08,5075.02,
34.1683,4837.28,-184.896,0.001,5002.65,5011.97,
34.2685,4818.76,-184.596,0.001,5003.28,4928.31,
34.3687,4800.28,-184.299,0.001,5003.99,4954.82,
34.4689,4781.83,-184.003,0.001,5004.76,5001.27,
34.5691,4763.41,-183.709,0.001,5005.59,5040.98,
34.6693,4745.02,-183.416,0.001,5006.5,4952.84,
34.7695,4726.65,-183.125,0.001,5007.47,4922.26,
34.8697,4708.32,-182.835,0.001,5008.5,4970.06,
34.9699,4690.01,-182.547,0.001,5009.6,5049.09,
35.0701,4671.73,-182.26,0.001,5010.76,5101.48,
